task,model,device,batch_size,steps,amp,channels_last,compile,throughput_img_s,p50_ms,p95_ms,mean_ms
inference,resnet50,cuda,32,150,False,False,False,399.6575977317163,80.2119369506836,81.4940185546875,80.06853912353516
inference,resnet50,cuda,32,150,True,True,True,1560.0150530169549,20.42140769958496,21.241439819335938,20.512622578938803
train_micro,resnet50,cuda,32,80,False,False,False,114.4848378006361,279.5350646972656,282.7237854003906,279.5129959106445
train_micro,resnet50,cuda,32,80,True,True,False,352.06269649540053,90.92057800292969,91.7053451538086,90.89290151596069
inference,resnet50,cuda,32,30,True,False,False,835.8822173068487,37.965152740478516,40.98604965209961,38.28290557861328
